Continent,Country,Total_Confirmed,Total_Recovered,Total_Deaths
Asia,Afghanistan,66031705,18289880,2874099
Europe,Albania,82385140,22652652,1320658
Africa,Algeria,94695072,25670233,2651996
Europe,Andorra,9598486,3085649,75889
Africa,Angola,26425596,5895800,605294
Antarctica,Antarctica,1364,0,0
North America,Antigua and Barbuda,1434165,191813,33325
South America,Argentina,2475895186,711610324,48636217
Asia,Armenia,142807219,51634388,2869082
Australia/Oceania,Australia,365675939,8821094,1059528
Europe,Austria,549025114,131744371,5694318
Asia,Azerbaijan,227815064,68764706,3024416
North America,Bahamas,9535186,2484156,226884
Asia,Bahrain,140972915,48612087,570784
Asia,Bangladesh,652364521,190856309,10509074
North America,Barbados,8284535,692334,62904
Europe,Belarus,269571922,88191538,2038480
Europe,Belgium,818164335,3797810,15039156
North America,Belize,12362555,2947228,216740
Africa,Benin,7892168,1723986,65612
Asia,Bhutan,2313658,294915,1366
South America,Bolivia,257271038,69896258,9148253
Europe,Bosnia and Herzegovina,119258363,35933408,5099920
Africa,Botswana,65579686,9700789,766522
South America,Brazil,9991736059,3412350387,264795351
Asia,Brunei,8491163,82751,24955
Europe,Bulgaria,278039125,68475929,10575086
Africa,Burkina Faso,7545988,2924007,119261
Asia,Burma,170851763,34256258,5576309
Africa,Burundi,7437063,249099,11205
Africa,Cabo Verde,17489763,5686352,148486
Asia,Cambodia,34442893,3660787,745369
Africa,Cameroon,43472191,10896314,722961
North America,Canada,876749971,264248368,15714265
Africa,Central African Republic,5437023,1529613,55707
Africa,Chad,2737971,1091049,99316
South America,Chile,881289517,316380403,18283212
Asia,China,138460190,45946551,3970993
South America,Colombia,2167037165,735029503,54481320
Africa,Comoros,2330407,774724,68349
Africa,Congo (Brazzaville),8043225,2439213,125351
Africa,Congo (Kinshasa),26555221,6871642,527687
North America,Costa Rica,230150540,55496121,2731619
Africa,Cote d'Ivoire,29911080,11756813,250585
Europe,Croatia,251454029,70509798,4550764
North America,Cuba,263432108,23926231,2153232
Asia,Cyprus,65760901,5113971,240387
Europe,Czechia,983420785,317365660,14785125
Europe,Denmark,373748694,57832579,1579709
Other,Diamond Princess,563196,340257,9938
Africa,Djibouti,6701889,2987544,82123
North America,Dominica,1723006,41026,9436
North America,Dominican Republic,193213463,62636404,2171577
South America,Ecuador,264113548,89535763,14723215
Africa,Egypt,165990742,51654262,9150637
North America,El Salvador,51439747,17603810,1523912
Africa,Equatorial Guinea,5962008,2213717,80021
Africa,Eritrea,2948313,799117,20475
Europe,Estonia,95704245,19741545,680816
Africa,Eswatini,19020262,4163661,476343
Africa,Ethiopia,160845823,48046171,2564253
Australia/Oceania,Fiji,14731503,176313,180541
Europe,Finland,110468452,11629672,723722
Europe,France,4588778075,96506536,62237882
Africa,Gabon,15701460,5266985,102205
Africa,Gambia,4389379,1452162,138473
Asia,Georgia,328321550,71433919,4110187
Europe,Germany,3007332317,695248246,46750203
Africa,Ghana,62823801,25893775,518177
Europe,Greece,433267705,24659121,7263310
North America,Grenada,1996566,39038,42227
North America,Guatemala,227495346,57897895,6068607
Africa,Guinea,14780223,5848704,141537
Africa,Guinea-Bissau,2961374,958459,57331
South America,Guyana,14560445,2964263,332218
North America,Haiti,11308676,3591192,291377
Europe,Holy See,17324,7042,0
North America,Honduras,155661467,21669283,4141525
Europe,Hungary,468001548,111425995,14654493
Europe,Iceland,16401467,2058185,22121
Asia,India,14681429726,4859387857,192264062
Asia,Indonesia,1597829180,363942501,48536553
Asia,Iran,2176486670,522325591,53745839
Asia,Iraq,815912614,250454579,10863529
Europe,Ireland,263643248,10712302,2899538
Asia,Israel,730904245,198086041,3777506
Europe,Italy,2914673720,759237934,70245227
North America,Jamaica,34379295,5428535,766755
Asia,Japan,853001775,129683074,7610096
Asia,Jordan,425891377,128718145,4844122
Asia,Kazakhstan,388370087,91195356,5927457
Africa,Kenya,111190942,29850411,2071993
Australia/Oceania,Kiribati,209246,0,754
Asia,"Korea, South",653757077,28219140,2006756
Europe,Kosovo,68199012,20280591,1282881
Asia,Kuwait,199472884,72140011,1086110
Asia,Kyrgyzstan,79140907,28445567,1268918
Asia,Laos,22264558,167935,76269
Europe,Latvia,114626739,21700606,1477485
Asia,Lebanon,308722407,90560589,3693211
Africa,Lesotho,8807088,1187899,223794
Africa,Liberia,2473486,641874,108404
Africa,Libya,143584959,35980071,2066621
Europe,Liechtenstein,2566640,663464,30508
Europe,Lithuania,199930133,48664190,2566768
Europe,Luxembourg,47800020,15506143,431772
Other,MS Zaandam,6722,1715,1492
Africa,Madagascar,22414945,8729202,443587
Africa,Malawi,26040368,6286177,859016
Asia,Malaysia,805303639,94234855,7846183
Asia,Maldives,39401020,8915069,96263
Africa,Mali,8789490,2293142,285478
Europe,Malta,19926135,6085906,220487
Australia/Oceania,Marshall Islands,2395,1000,0
Africa,Mauritania,16993540,5034392,350168
Africa,Mauritius,20170506,302234,136769
North America,Mexico,1726825683,498203576,133519933
Australia/Oceania,Micronesia,451,188,0
Europe,Moldova,157378379,54660386,3696184
Europe,Monaco,2012067,497393,16942
Asia,Mongolia,170280567,8101267,496642
Europe,Montenegro,65674682,19606031,903774
Africa,Morocco,396073363,132346459,6181487
Africa,Mozambique,61805022,13140950,684809
Africa,Namibia,49698676,11919127,1147845
Asia,Nepal,328768861,98893289,4099621
Europe,Netherlands,1336742176,5133479,10566228
Australia/Oceania,New Zealand,28858248,964499,31223
North America,Nicaragua,6598302,1567987,121674
Africa,Niger,3277860,1242042,121057
Africa,Nigeria,102375724,39492087,1371894
Europe,North Macedonia,93255329,29421904,3062649
Europe,Norway,169875533,6420117,551735
Asia,Oman,143975788,54426196,1694236
Asia,Pakistan,569428773,206507371,12300872
Australia/Oceania,Palau,286661,0,365
North America,Panama,245204203,90821411,3666702
Australia/Oceania,Papua New Guinea,10157095,1682469,138447
South America,Paraguay,198415316,54844740,5974097
South America,Peru,1170867521,458397918,100102224
Asia,Philippines,1006132001,232764917,16789466
Europe,Poland,1611147051,487412435,37385366
Europe,Portugal,676578845,177063502,8873458
Asia,Qatar,139153152,63777386,290152
Europe,Romania,726525471,221738944,20130234
Europe,Russia,4055403879,1128064202,97041399
Africa,Rwanda,34522816,5410715,416965
North America,Saint Kitts and Nevis,907713,27865,6734
North America,Saint Lucia,4744195,793932,80343
North America,Saint Vincent and the Grenadines,1829416,311239,19207
Australia/Oceania,Samoa,67600,561,79
Europe,San Marino,3475610,1076072,54985
Africa,Sao Tome and Principe,1736525,562180,24947
Asia,Saudi Arabia,312090694,146131996,4634611
Africa,Senegal,30940101,9755165,746432
Europe,Serbia,486052135,735730,4393081
Africa,Seychelles,8841994,1469023,40005
Africa,Sierra Leone,3132228,968250,65196
Asia,Singapore,121432134,24305668,174937
Europe,Slovakia,502119526,56875095,6072231
Europe,Slovenia,188345296,48133031,2355161
Australia/Oceania,Solomon Islands,626648,3913,7703
Africa,Somalia,9020655,1699780,452671
Africa,South Africa,1304683860,433216733,37675174
Africa,South Sudan,6093647,2035590,66028
Europe,Spain,2754459962,71183831,47685434
Asia,Sri Lanka,175686626,28768450,3805317
Africa,Sudan,22280839,6975936,1555801
Other,Summer Olympics 2020,215833,0,0
South America,Suriname,17750210,3106687,357104
Europe,Sweden,623633669,0,8338332
Europe,Switzerland,578901166,89268383,5958251
Asia,Syria,16621787,3588504,1029891
Asia,Taiwan*,5924892,802428,259211
Asia,Tajikistan,9453239,4615407,68216
Africa,Tanzania,6429507,84988,162598
Asia,Thailand,590243063,5909547,5175930
Asia,Timor-Leste,5838572,635640,30315
Africa,Togo,10138228,2307589,93900
Australia/Oceania,Tonga,216773,0,202
North America,Trinidad and Tobago,25928311,3350829,725015
Africa,Tunisia,279026319,61124558,9091357
Asia,Turkey,3505368946,919259007,29977822
North America,US,22963151317,496971828,368024697
Africa,Uganda,48463604,8763537,1005741
Europe,Ukraine,1398454220,382658549,32273184
Asia,United Arab Emirates,326282986,118844069,963328
Europe,United Kingdom,4376490715,3447801,75343186
South America,Uruguay,178902370,36788937,2202153
Asia,Uzbekistan,80168187,28288270,577326
Australia/Oceania,Vanuatu,109895,453,411
South America,Venezuela,164597731,49871349,1836434
Asia,Vietnam,643038697,1261448,7106939
Asia,West Bank and Gaza,187339576,57608773,1893801
Other,Winter Olympics 2022,39517,0,0
Asia,Yemen,3987738,772497,810844
Africa,Zambia,87545852,21852796,1318781
Africa,Zimbabwe,56346213,8779035,1633790
